ORI - Agency,Crime Against,MICR Offense,Offenses
 Denton Township Police Department Total,Property, Larceny Theft from Motor Vehicle,0
 Denton Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,0
 Denton Township Police Department Total,Property, Larceny Other,7
 Denton Township Police Department Total,Property, Motor Vehicle Theft,0
 Denton Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,0
 Denton Township Police Department Total,Property, Fraud Credit Card/ATM,2
 Denton Township Police Department Total,Property, Fraud Impersonation,3
 Denton Township Police Department Total,Property, Fraud Bad Checks,0
 Denton Township Police Department Total,Property, Fraud Identity Theft,1
 Denton Township Police Department Total,Property, Embezzlement,1
 Denton Township Police Department Total,Property, Stolen Property,0
 Denton Township Police Department Total,Property, Damage To Property,5
 Denton Township Police Department Total,Property, Retail Fraud Misrepresentation,1
 Denton Township Police Department Total,Property, Retail Fraud Theft,30
 Denton Township Police Department Total,Property, Retail Fraud Refund/Exchange,0
 Denton Township Police Department Total,Property,,52
 Denton Township Police Department Total,Society, Violation of Controlled Substance,2
 Denton Township Police Department Total,Society, Peeping Tom,0
 Denton Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,0
 Denton Township Police Department Total,Society, Liquor License Establishment,1
 Denton Township Police Department Total,Society, Drunkenness,1
 Denton Township Police Department Total,Society, OUIL or OUID,2
 Denton Township Police Department Total,Society, Trespass,3
 Denton Township Police Department Total,Society,,9
 Denton Township Police Department Total,All Other, Sex Offense Other,0
 Denton Township Police Department Total,All Other, Obstructing Police,2
 Denton Township Police Department Total,All Other, Obstructing Justice,4
 Denton Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Denton Township Police Department Total,All Other, Miscellaneous Criminal Offense,3
 Denton Township Police Department Total,All Other,,10
 Richfield Township Department of Public Safety Total,All Other,,41
 Richfield Township Department of Public Safety Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Richfield Township Department of Public Safety Total,Person, Nonaggravated Assault,10
 Richfield Township Department of Public Safety Total,Person, Aggravated/Felonious Assault,1
 Richfield Township Department of Public Safety Total,Person,,11
 Richfield Township Department of Public Safety Total,Property, Burglary Forced Entry,1
 Richfield Township Department of Public Safety Total,Property, Larceny Theft from Motor Vehicle,2
 Richfield Township Department of Public Safety Total,Property, Larceny Other,2
 Richfield Township Department of Public Safety Total,Property, Embezzlement,0
 Richfield Township Department of Public Safety Total,Property, Damage To Property,0
 Richfield Township Department of Public Safety Total,Property,,5
 Richfield Township Department of Public Safety Total,Society, Violation of Controlled Substance,0
 Richfield Township Department of Public Safety Total,Society, Family Abuse/Neglect Nonviolent,1
 Richfield Township Department of Public Safety Total,Society, Family Other,0
 Richfield Township Department of Public Safety Total,Society, Disorderly Conduct,1
 Richfield Township Department of Public Safety Total,Society, Public Peace Other,1
 Richfield Township Department of Public Safety Total,Society, OUIL or OUID,4
 Richfield Township Department of Public Safety Total,Society, Trespass,1
 Richfield Township Department of Public Safety Total,Society,,8
 Richfield Township Department of Public Safety Total,All Other, Sex Offense Other,2
 Richfield Township Department of Public Safety Total,All Other, Obstructing Justice,2
 Richfield Township Department of Public Safety Total,All Other, Hit And Run Motor Vehicle Accident,2
 Richfield Township Department of Public Safety Total,All Other, Health And Safety,9
 Richfield Township Department of Public Safety Total,All Other, Juvenile Runaway,1
 Richfield Township Department of Public Safety Total,All Other, Miscellaneous Criminal Offense,1
 Richfield Township Department of Public Safety Total,All Other,,17
 Gerrish Township Police Department Total,All Other,,144
 Gerrish Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Gerrish Township Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Gerrish Township Police Department Total,Person, Nonaggravated Assault,13
 Gerrish Township Police Department Total,Person, Aggravated/Felonious Assault,3
 Gerrish Township Police Department Total,Person, Intimidation/Stalking,17
 Gerrish Township Police Department Total,Person,,34
 Gerrish Township Police Department Total,Property, Burglary Forced Entry,2
 Gerrish Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,2
 Gerrish Township Police Department Total,Property, Larceny Theft from Building,0
 Gerrish Township Police Department Total,Property, Larceny Theft from Motor Vehicle,0
 Gerrish Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,1
 Gerrish Township Police Department Total,Property, Larceny Other,9
 Gerrish Township Police Department Total,Property, Motor Vehicle Theft,0
 Gerrish Township Police Department Total,Property, Forgery/Counterfeiting,1
 Gerrish Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,6
 Gerrish Township Police Department Total,Property, Fraud Credit Card/ATM,1
 Gerrish Township Police Department Total,Property, Fraud Bad Checks,1
 Gerrish Township Police Department Total,Property, Fraud Identity Theft,2
 Gerrish Township Police Department Total,Property, Embezzlement,0
 Gerrish Township Police Department Total,Property, Damage To Property,8
 Gerrish Township Police Department Total,Property, Retail Fraud Theft,1
 Gerrish Township Police Department Total,Property,,34
 Gerrish Township Police Department Total,Society, Violation of Controlled Substance,2
 Gerrish Township Police Department Total,Society, Obscenity,3
 Gerrish Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Gerrish Township Police Department Total,Society, Family Other,1
 Gerrish Township Police Department Total,Society, Liquor Violations Other,1
 Gerrish Township Police Department Total,Society, Weapons Offense Concealed,1
 Gerrish Township Police Department Total,Society, Weapons Offense Other,0
 Gerrish Township Police Department Total,Society, Disorderly Conduct,4
 Gerrish Township Police Department Total,Society, Public Peace Other,1
 Gerrish Township Police Department Total,Society, OUIL or OUID,9
 Gerrish Township Police Department Total,Society, Trespass,16
 Gerrish Township Police Department Total,Society,,40
 Gerrish Township Police Department Total,All Other, Sex Offense Other,1
 Gerrish Township Police Department Total,All Other, Obstructing Police,2
 Gerrish Township Police Department Total,All Other, Escape/Flight,1
 Gerrish Township Police Department Total,All Other, Obstructing Justice,3
 Gerrish Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,4
 Gerrish Township Police Department Total,All Other, Health And Safety,16
 Gerrish Township Police Department Total,All Other, Invasion of Privacy Other,0
 Gerrish Township Police Department Total,All Other, Conservation,7
 Gerrish Township Police Department Total,All Other, Miscellaneous Criminal Offense,2
 Gerrish Township Police Department Total,All Other,,36
 MSP BAYANET Total,All Other,,336
 MSP BAYANET Total,Person, Nonaggravated Assault,0
 MSP BAYANET Total,Person,,0
 MSP BAYANET Total,Property, Larceny Other,1
 MSP BAYANET Total,Property, Stolen Property,2
 MSP BAYANET Total,Property,,3
 MSP BAYANET Total,Society, Violation of Controlled Substance,200
 MSP BAYANET Total,Society, Narcotic Equipment Violations,108
 MSP BAYANET Total,Society, Weapons Offense Concealed,7
 MSP BAYANET Total,Society, Weapons Offense Other,15
 MSP BAYANET Total,Society,,330
 MSP BAYANET Total,All Other, Obstructing Police,0
 MSP BAYANET Total,All Other, Escape/Flight,1
 MSP BAYANET Total,All Other, Obstructing Justice,2
 MSP BAYANET Total,All Other,,3
 MSP Fugitive Team ,All Other,,27
 MSP Fugitive Team ,Person, Kidnapping/Abduction,1
 MSP Fugitive Team ,Person, Aggravated/Felonious Assault,1
 MSP Fugitive Team ,Person,,2
 MSP Fugitive Team ,Society, Violation of Controlled Substance,2
 MSP Fugitive Team ,Society, Weapons Offense Concealed,1
 MSP Fugitive Team ,Society, Weapons Offense Other,1
 MSP Fugitive Team ,Society,,4
 MSP Fugitive Team ,All Other, Obstructing Police,4
 MSP Fugitive Team ,All Other, Obstructing Justice,17
 MSP Fugitive Team ,All Other,,21
 Saginaw County Sheriff's Office Total,All Other,,1936
 Saginaw County Sheriff's Office Total,Person, Murder/Nonnegligent Manslaughter (Voluntary),5
 Saginaw County Sheriff's Office Total,Person, Negligent Homicide/Manslaughter (Involuntary),0
 Saginaw County Sheriff's Office Total,Person, Kidnapping/Abduction,1
 Saginaw County Sheriff's Office Total,Person, Parental Kidnapping,1
 Saginaw County Sheriff's Office Total,Person, Sexual Penetration Penis/Vagina CSC 1st,6
 Saginaw County Sheriff's Office Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,7
 Saginaw County Sheriff's Office Total,Person, Sexual Penetration Oral/Anal CSC 1st,4
 Saginaw County Sheriff's Office Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Saginaw County Sheriff's Office Total,Person, Sexual Contact Forcible CSC 2nd,4
 Saginaw County Sheriff's Office Total,Person, Sexual Contact Forcible CSC 4th,8
 Saginaw County Sheriff's Office Total,Person, Nonaggravated Assault,227
 Saginaw County Sheriff's Office Total,Person, Aggravated/Felonious Assault,71
 Saginaw County Sheriff's Office Total,Person, Intimidation/Stalking,84
 Saginaw County Sheriff's Office Total,Person, Non,2
 Saginaw County Sheriff's Office Total,Person,,420
 Saginaw County Sheriff's Office Total,Property, Robbery,9
 Saginaw County Sheriff's Office Total,Property, Arson,0
 Saginaw County Sheriff's Office Total,Property, Extortion,1
 Saginaw County Sheriff's Office Total,Property, Burglary Forced Entry,20
 Saginaw County Sheriff's Office Total,Property, Burglary Entry Without Force (Intent),11
 Saginaw County Sheriff's Office Total,Property, Burglary Entry w/out Authorization w/or w/out Force,5
 Saginaw County Sheriff's Office Total,Property, Larceny Pocketpicking,1
 Saginaw County Sheriff's Office Total,Property, Larceny Pursesnatching,1
 Saginaw County Sheriff's Office Total,Property, Larceny Theft from Building,23
 Saginaw County Sheriff's Office Total,Property, Larceny Theft from Motor Vehicle,20
 Saginaw County Sheriff's Office Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,12
 Saginaw County Sheriff's Office Total,Property, Larceny Other,99
 Saginaw County Sheriff's Office Total,Property, Motor Vehicle Theft,30
 Saginaw County Sheriff's Office Total,Property, Motor Vehicle as Stolen Property,2
 Saginaw County Sheriff's Office Total,Property, Motor Vehicle Fraud,0
 Saginaw County Sheriff's Office Total,Property, Forgery/Counterfeiting,5
 Saginaw County Sheriff's Office Total,Property, Fraud False Pretense/Swindle/Confidence Game,39
 Saginaw County Sheriff's Office Total,Property, Fraud Credit Card/ATM,4
 Saginaw County Sheriff's Office Total,Property, Fraud Impersonation,5
 Saginaw County Sheriff's Office Total,Property, Fraud Wire,10
 Saginaw County Sheriff's Office Total,Property, Fraud Bad Checks,2
 Saginaw County Sheriff's Office Total,Property, Fraud Identity Theft,14
 Saginaw County Sheriff's Office Total,Property, Fraud Hacking/Computer Invasion,0
 Saginaw County Sheriff's Office Total,Property, Embezzlement,17
 Saginaw County Sheriff's Office Total,Property, Stolen Property,2
 Saginaw County Sheriff's Office Total,Property, Damage To Property,105
 Saginaw County Sheriff's Office Total,Property, Retail Fraud Misrepresentation,0
 Saginaw County Sheriff's Office Total,Property, Retail Fraud Theft,148
 Saginaw County Sheriff's Office Total,Property, Retail Fraud Refund/Exchange,3
 Saginaw County Sheriff's Office Total,Property, Retail Fraud Organized Crime,2
 Saginaw County Sheriff's Office Total,Property,,590
 Saginaw County Sheriff's Office Total,Society, Violation of Controlled Substance,30
 Saginaw County Sheriff's Office Total,Society, Obscenity,1
 Saginaw County Sheriff's Office Total,Society, Family Abuse/Neglect Nonviolent,8
 Saginaw County Sheriff's Office Total,Society, Family Nonsupport,0
 Saginaw County Sheriff's Office Total,Society, Family Other,3
 Saginaw County Sheriff's Office Total,Society, Liquor Violations Other,23
 Saginaw County Sheriff's Office Total,Society, Drunkenness,0
 Saginaw County Sheriff's Office Total,Society, Weapons Offense Concealed,19
 Saginaw County Sheriff's Office Total,Society, Weapons Offense Other,5
 Saginaw County Sheriff's Office Total,Society, Disorderly Conduct,35
 Saginaw County Sheriff's Office Total,Society, Public Peace Other,17
 Saginaw County Sheriff's Office Total,Society, OUIL or OUID,129
 Saginaw County Sheriff's Office Total,Society, Trespass,7
 Saginaw County Sheriff's Office Total,Society, Animal Cruelty,2
 Saginaw County Sheriff's Office Total,Society,,279
 Saginaw County Sheriff's Office Total,All Other, Immigration,6
 Saginaw County Sheriff's Office Total,All Other, Possession of Burglary Tools,1
 Saginaw County Sheriff's Office Total,All Other, Sex Offense Other,15
 Saginaw County Sheriff's Office Total,All Other, Obstructing Police,36
 Saginaw County Sheriff's Office Total,All Other, Escape/Flight,17
 Saginaw County Sheriff's Office Total,All Other, Obstructing Justice,408
 Saginaw County Sheriff's Office Total,All Other, Hit And Run Motor Vehicle Accident,86
 Saginaw County Sheriff's Office Total,All Other, Health And Safety,22
 Saginaw County Sheriff's Office Total,All Other, Civil Rights,0
 Saginaw County Sheriff's Office Total,All Other, Smuggling,37
 Saginaw County Sheriff's Office Total,All Other, Tax/Revenue,1
 Saginaw County Sheriff's Office Total,All Other, Conservation,8
 Saginaw County Sheriff's Office Total,All Other, Juvenile Runaway,6
 Saginaw County Sheriff's Office Total,All Other, Miscellaneous Criminal Offense,2
 Saginaw County Sheriff's Office Total,All Other, Solicitation (All Crimes Except Prostitution),2
 Saginaw County Sheriff's Office Total,All Other,,647
 Birch Run Police Department Total,All Other,,195
 Birch Run Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Birch Run Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Birch Run Police Department Total,Person, Nonaggravated Assault,9
 Birch Run Police Department Total,Person, Aggravated/Felonious Assault,2
 Birch Run Police Department Total,Person, Intimidation/Stalking,6
 Birch Run Police Department Total,Person,,18
 Birch Run Police Department Total,Property, Robbery,0
 Birch Run Police Department Total,Property, Arson,0
 Birch Run Police Department Total,Property, Burglary Forced Entry,2
 Birch Run Police Department Total,Property, Burglary Entry Without Force (Intent),0
 Birch Run Police Department Total,Property, Larceny Pursesnatching,1
 Birch Run Police Department Total,Property, Larceny Theft from Building,7
 Birch Run Police Department Total,Property, Larceny Theft from Motor Vehicle,13
 Birch Run Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,10
 Birch Run Police Department Total,Property, Larceny Other,3
 Birch Run Police Department Total,Property, Motor Vehicle Theft,6
 Birch Run Police Department Total,Property, Forgery/Counterfeiting,1
 Birch Run Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,2
 Birch Run Police Department Total,Property, Fraud Credit Card/ATM,2
 Birch Run Police Department Total,Property, Fraud Wire,2
 Birch Run Police Department Total,Property, Fraud Bad Checks,1
 Birch Run Police Department Total,Property, Fraud Identity Theft,0
 Birch Run Police Department Total,Property, Embezzlement,1
 Birch Run Police Department Total,Property, Stolen Property,0
 Birch Run Police Department Total,Property, Damage To Property,9
 Birch Run Police Department Total,Property, Retail Fraud Misrepresentation,3
 Birch Run Police Department Total,Property, Retail Fraud Theft,29
 Birch Run Police Department Total,Property,,92
 Birch Run Police Department Total,Society, Violation of Controlled Substance,4
 Birch Run Police Department Total,Society, Narcotic Equipment Violations,3
 Birch Run Police Department Total,Society, Obscenity,1
 Birch Run Police Department Total,Society, Family Abuse/Neglect Nonviolent,1
 Birch Run Police Department Total,Society, Liquor Violations Other,0
 Birch Run Police Department Total,Society, Weapons Offense Concealed,1
 Birch Run Police Department Total,Society, Weapons Offense Other,1
 Birch Run Police Department Total,Society, Disorderly Conduct,7
 Birch Run Police Department Total,Society, OUIL or OUID,7
 Birch Run Police Department Total,Society, Trespass,1
 Birch Run Police Department Total,Society,,26
 Birch Run Police Department Total,All Other, Obstructing Police,5
 Birch Run Police Department Total,All Other, Obstructing Justice,39
 Birch Run Police Department Total,All Other, Hit And Run Motor Vehicle Accident,10
 Birch Run Police Department Total,All Other, Health And Safety,4
 Birch Run Police Department Total,All Other, Juvenile Runaway,1
 Birch Run Police Department Total,All Other,,59
 Carrollton Township Police Department Total,All Other,,452
 Carrollton Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,2
 Carrollton Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Carrollton Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Carrollton Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Carrollton Township Police Department Total,Person, Nonaggravated Assault,58
 Carrollton Township Police Department Total,Person, Aggravated/Felonious Assault,22
 Carrollton Township Police Department Total,Person, Intimidation/Stalking,26
 Carrollton Township Police Department Total,Person,,110
 Carrollton Township Police Department Total,Property, Robbery,3
 Carrollton Township Police Department Total,Property, Arson,2
 Carrollton Township Police Department Total,Property, Burglary Forced Entry,13
 Carrollton Township Police Department Total,Property, Burglary Entry Without Force (Intent),2
 Carrollton Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Carrollton Township Police Department Total,Property, Larceny Theft from Building,5
 Carrollton Township Police Department Total,Property, Larceny Theft from Motor Vehicle,3
 Carrollton Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,0
 Carrollton Township Police Department Total,Property, Larceny Other,15
 Carrollton Township Police Department Total,Property, Motor Vehicle Theft,1
 Carrollton Township Police Department Total,Property, Forgery/Counterfeiting,2
 Carrollton Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,2
 Carrollton Township Police Department Total,Property, Fraud Credit Card/ATM,2
 Carrollton Township Police Department Total,Property, Fraud Impersonation,1
 Carrollton Township Police Department Total,Property, Fraud Wire,1
 Carrollton Township Police Department Total,Property, Fraud Bad Checks,1
 Carrollton Township Police Department Total,Property, Fraud Identity Theft,2
 Carrollton Township Police Department Total,Property, Damage To Property,35
 Carrollton Township Police Department Total,Property, Retail Fraud Theft,2
 Carrollton Township Police Department Total,Property,,92
 Carrollton Township Police Department Total,Society, Violation of Controlled Substance,0
 Carrollton Township Police Department Total,Society, Peeping Tom,0
 Carrollton Township Police Department Total,Society, Obscenity,1
 Carrollton Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Carrollton Township Police Department Total,Society, Family Other,1
 Carrollton Township Police Department Total,Society, Liquor Violations Other,1
 Carrollton Township Police Department Total,Society, Weapons Offense Concealed,4
 Carrollton Township Police Department Total,Society, Weapons Offense Explosives,0
 Carrollton Township Police Department Total,Society, Weapons Offense Other,3
 Carrollton Township Police Department Total,Society, Disorderly Conduct,99
 Carrollton Township Police Department Total,Society, Public Peace Other,8
 Carrollton Township Police Department Total,Society, OUIL or OUID,20
 Carrollton Township Police Department Total,Society, Trespass,11
 Carrollton Township Police Department Total,Society, Vagrancy,6
 Carrollton Township Police Department Total,Society,,156
 Carrollton Township Police Department Total,All Other, Immigration,2
 Carrollton Township Police Department Total,All Other, Sex Offense Other,1
 Carrollton Township Police Department Total,All Other, Obstructing Police,12
 Carrollton Township Police Department Total,All Other, Escape/Flight,3
 Carrollton Township Police Department Total,All Other, Obstructing Justice,44
 Carrollton Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,7
 Carrollton Township Police Department Total,All Other, Health And Safety,15
 Carrollton Township Police Department Total,All Other, Conservation,1
 Carrollton Township Police Department Total,All Other, Juvenile Runaway,8
 Carrollton Township Police Department Total,All Other, Miscellaneous Criminal Offense,1
 Carrollton Township Police Department Total,All Other,,94
 Chesaning Police Department Total,All Other,,105
 Chesaning Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Chesaning Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,1
 Chesaning Police Department Total,Person, Sexual Contact Forcible CSC 2nd,2
 Chesaning Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Chesaning Police Department Total,Person, Nonaggravated Assault,7
 Chesaning Police Department Total,Person, Aggravated/Felonious Assault,9
 Chesaning Police Department Total,Person, Intimidation/Stalking,1
 Chesaning Police Department Total,Person,,21
 Chesaning Police Department Total,Property, Extortion,1
 Chesaning Police Department Total,Property, Burglary Forced Entry,1
 Chesaning Police Department Total,Property, Burglary Entry Without Force (Intent),0
 Chesaning Police Department Total,Property, Larceny Pocketpicking,2
 Chesaning Police Department Total,Property, Larceny Theft from Building,1
 Chesaning Police Department Total,Property, Larceny Theft from Motor Vehicle,2
 Chesaning Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,2
 Chesaning Police Department Total,Property, Larceny Other,8
 Chesaning Police Department Total,Property, Motor Vehicle Theft,1
 Chesaning Police Department Total,Property, Motor Vehicle as Stolen Property,1
 Chesaning Police Department Total,Property, Forgery/Counterfeiting,1
 Chesaning Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,8
 Chesaning Police Department Total,Property, Fraud Credit Card/ATM,0
 Chesaning Police Department Total,Property, Fraud Identity Theft,1
 Chesaning Police Department Total,Property, Stolen Property,0
 Chesaning Police Department Total,Property, Damage To Property,13
 Chesaning Police Department Total,Property, Retail Fraud Theft,1
 Chesaning Police Department Total,Property,,43
 Chesaning Police Department Total,Society, Violation of Controlled Substance,2
 Chesaning Police Department Total,Society, Family Abuse/Neglect Nonviolent,0
 Chesaning Police Department Total,Society, Liquor Violations Other,3
 Chesaning Police Department Total,Society, Weapons Offense Concealed,0
 Chesaning Police Department Total,Society, Disorderly Conduct,1
 Chesaning Police Department Total,Society, Public Peace Other,3
 Chesaning Police Department Total,Society, OUIL or OUID,5
 Chesaning Police Department Total,Society, Trespass,5
 Chesaning Police Department Total,Society,,19
 Chesaning Police Department Total,All Other, Obstructing Police,5
 Chesaning Police Department Total,All Other, Obstructing Justice,2
 Chesaning Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Chesaning Police Department Total,All Other, Health And Safety,8
 Chesaning Police Department Total,All Other, Juvenile Runaway,3
 Chesaning Police Department Total,All Other, Miscellaneous Criminal Offense,3
 Chesaning Police Department Total,All Other,,22
 Frankenmuth Police Department Total,All Other,,243
 Frankenmuth Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Frankenmuth Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Frankenmuth Police Department Total,Person, Sexual Contact Forcible CSC 4th,2
 Frankenmuth Police Department Total,Person, Nonaggravated Assault,28
 Frankenmuth Police Department Total,Person, Aggravated/Felonious Assault,2
 Frankenmuth Police Department Total,Person, Intimidation/Stalking,11
 Frankenmuth Police Department Total,Person,,45
 Frankenmuth Police Department Total,Property, Arson,0
 Frankenmuth Police Department Total,Property, Burglary Forced Entry,2
 Frankenmuth Police Department Total,Property, Burglary Entry Without Force (Intent),1
 Frankenmuth Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,1
 Frankenmuth Police Department Total,Property, Larceny Pursesnatching,0
 Frankenmuth Police Department Total,Property, Larceny Theft from Building,10
 Frankenmuth Police Department Total,Property, Larceny Theft from Motor Vehicle,5
 Frankenmuth Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,2
 Frankenmuth Police Department Total,Property, Larceny Other,15
 Frankenmuth Police Department Total,Property, Motor Vehicle Theft,0
 Frankenmuth Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Frankenmuth Police Department Total,Property, Motor Vehicle Fraud,1
 Frankenmuth Police Department Total,Property, Forgery/Counterfeiting,4
 Frankenmuth Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,7
 Frankenmuth Police Department Total,Property, Fraud Credit Card/ATM,2
 Frankenmuth Police Department Total,Property, Fraud Impersonation,3
 Frankenmuth Police Department Total,Property, Fraud Wire,1
 Frankenmuth Police Department Total,Property, Fraud Bad Checks,1
 Frankenmuth Police Department Total,Property, Fraud Identity Theft,6
 Frankenmuth Police Department Total,Property, Embezzlement,1
 Frankenmuth Police Department Total,Property, Damage To Property,17
 Frankenmuth Police Department Total,Property, Retail Fraud Theft,6
 Frankenmuth Police Department Total,Property,,85
 Frankenmuth Police Department Total,Society, Violation of Controlled Substance,4
 Frankenmuth Police Department Total,Society, Narcotic Equipment Violations,1
 Frankenmuth Police Department Total,Society, Obscenity,2
 Frankenmuth Police Department Total,Society, Family Abuse/Neglect Nonviolent,4
 Frankenmuth Police Department Total,Society, Family Other,2
 Frankenmuth Police Department Total,Society, Liquor Violations Other,3
 Frankenmuth Police Department Total,Society, Disorderly Conduct,10
 Frankenmuth Police Department Total,Society, Public Peace Other,6
 Frankenmuth Police Department Total,Society, OUIL or OUID,18
 Frankenmuth Police Department Total,Society, Trespass,8
 Frankenmuth Police Department Total,Society, Vagrancy,0
 Frankenmuth Police Department Total,Society,,58
 Frankenmuth Police Department Total,All Other, Sex Offense Other,2
 Frankenmuth Police Department Total,All Other, Obstructing Police,5
 Frankenmuth Police Department Total,All Other, Obstructing Justice,14
 Frankenmuth Police Department Total,All Other, Hit And Run Motor Vehicle Accident,21
 Frankenmuth Police Department Total,All Other, Health And Safety,10
 Frankenmuth Police Department Total,All Other, Juvenile Runaway,3
 Frankenmuth Police Department Total,All Other,,55
 Richland Township Police Department Total,All Other,,117
 Richland Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,1
 Richland Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Richland Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,0
 Richland Township Police Department Total,Person, Nonaggravated Assault,20
 Richland Township Police Department Total,Person, Aggravated/Felonious Assault,6
 Richland Township Police Department Total,Person, Intimidation/Stalking,7
 Richland Township Police Department Total,Person,,35
 Richland Township Police Department Total,Property, Burglary Forced Entry,0
 Richland Township Police Department Total,Property, Burglary Entry Without Force (Intent),3
 Richland Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Richland Township Police Department Total,Property, Larceny Theft from Building,0
 Richland Township Police Department Total,Property, Larceny Theft from Motor Vehicle,2
 Richland Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,1
 Richland Township Police Department Total,Property, Larceny Other,2
 Richland Township Police Department Total,Property, Motor Vehicle Theft,0
 Richland Township Police Department Total,Property, Motor Vehicle as Stolen Property,1
 Richland Township Police Department Total,Property, Forgery/Counterfeiting,1
 Richland Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,4
 Richland Township Police Department Total,Property, Fraud Credit Card/ATM,0
 Richland Township Police Department Total,Property, Fraud Impersonation,0
 Richland Township Police Department Total,Property, Fraud Wire,1
 Richland Township Police Department Total,Property, Fraud Identity Theft,3
 Richland Township Police Department Total,Property, Damage To Property,14
 Richland Township Police Department Total,Property, Retail Fraud Theft,1
 Richland Township Police Department Total,Property,,33
 Richland Township Police Department Total,Society, Narcotic Equipment Violations,1
 Richland Township Police Department Total,Society, Obscenity,1
 Richland Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Richland Township Police Department Total,Society, Family Other,1
 Richland Township Police Department Total,Society, Liquor Violations Other,2
 Richland Township Police Department Total,Society, Weapons Offense Concealed,1
 Richland Township Police Department Total,Society, Weapons Offense Other,1
 Richland Township Police Department Total,Society, Disorderly Conduct,2
 Richland Township Police Department Total,Society, Public Peace Other,0
 Richland Township Police Department Total,Society, OUIL or OUID,7
 Richland Township Police Department Total,Society, Trespass,2
 Richland Township Police Department Total,Society,,20
 Richland Township Police Department Total,All Other, Obstructing Police,6
 Richland Township Police Department Total,All Other, Escape/Flight,0
 Richland Township Police Department Total,All Other, Obstructing Justice,13
 Richland Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,2
 Richland Township Police Department Total,All Other, Health And Safety,3
 Richland Township Police Department Total,All Other, Conservation,1
 Richland Township Police Department Total,All Other, Juvenile Runaway,4
 Richland Township Police Department Total,All Other,,29
 Oakley Police Department Total,All Other,,2
 Oakley Police Department Total,Person, Nonaggravated Assault,1
 Oakley Police Department Total,Person,,1
 Oakley Police Department Total,Property, Damage To Property,1
 Oakley Police Department Total,Property,,1
 Saginaw Police Department Total,Property,,4685
 Saginaw Police Department Total,Person, Murder/Nonnegligent Manslaughter (Voluntary),13
 Saginaw Police Department Total,Person, Negligent Homicide/Manslaughter (Involuntary),3
 Saginaw Police Department Total,Person, Kidnapping/Abduction,6
 Saginaw Police Department Total,Person, Parental Kidnapping,1
 Saginaw Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,20
